"soe","month","month_num","year","total_arrivals","arrivals_male","arrivals_female"
"Negeri Sembilan","December","12","2020",0,0,0
"Negeri Sembilan","December","12","2021",0,0,0
"Negeri Sembilan","December","12","2022",7009,4512,2497
"Negeri Sembilan","December","12","2023",5127,2649,2478
"Negeri Sembilan","February","02","2020",3259,2150,1109
"Negeri Sembilan","February","02","2021",0,0,0
"Negeri Sembilan","February","02","2022",0,0,0
"Negeri Sembilan","February","02","2023",9828,6595,3233
"Negeri Sembilan","February","02","2024",4411,2567,1844
"Negeri Sembilan","January","01","2020",3398,2184,1214
"Negeri Sembilan","January","01","2021",0,0,0
"Negeri Sembilan","January","01","2022",0,0,0
"Negeri Sembilan","January","01","2023",8081,5576,2505
"Negeri Sembilan","January","01","2024",4844,2802,2042
"Negeri Sembilan","July","07","2020",0,0,0
"Negeri Sembilan","July","07","2021",0,0,0
"Negeri Sembilan","July","07","2022",6090,4057,2033
"Negeri Sembilan","July","07","2023",6499,4501,1998
"Negeri Sembilan","June","06","2020",0,0,0
"Negeri Sembilan","June","06","2021",0,0,0
"Negeri Sembilan","June","06","2022",5760,4021,1739
"Negeri Sembilan","June","06","2023",5034,3303,1731
"Negeri Sembilan","June","06","2024",7176,4300,2876
"Negeri Sembilan","March","03","2020",1694,1141,553
"Negeri Sembilan","March","03","2021",0,0,0
"Negeri Sembilan","March","03","2022",0,0,0
"Negeri Sembilan","March","03","2023",8450,5520,2930
"Negeri Sembilan","March","03","2024",4954,2816,2138
"Negeri Sembilan","May","05","2020",0,0,0
"Negeri Sembilan","May","05","2021",0,0,0
"Negeri Sembilan","May","05","2022",2778,1806,972
"Negeri Sembilan","May","05","2023",14303,10163,4140
"Negeri Sembilan","May","05","2024",9700,6429,3271
"Negeri Sembilan","November","11","2020",0,0,0
"Negeri Sembilan","November","11","2021",0,0,0
"Negeri Sembilan","November","11","2022",6805,4590,2215
"Negeri Sembilan","November","11","2023",5535,3388,2147
"Negeri Sembilan","October","10","2020",0,0,0
"Negeri Sembilan","October","10","2021",0,0,0
"Negeri Sembilan","October","10","2022",7422,5074,2348
"Negeri Sembilan","October","10","2023",5098,3048,2050
"Negeri Sembilan","September","09","2020",0,0,0
"Negeri Sembilan","September","09","2021",0,0,0
"Negeri Sembilan","September","09","2022",6848,4706,2142
"Negeri Sembilan","September","09","2023",6045,3875,2170
"Pahang","April","04","2020",0,0,0
"Pahang","April","04","2021",3,3,0
"Pahang","April","04","2022",41,31,10
"Pahang","April","04","2023",838,448,390
"Pahang","April","04","2024",695,377,318
"Pahang","August","08","2020",0,0,0
"Pahang","August","08","2021",0,0,0
"Pahang","August","08","2022",190,141,49
"Pahang","August","08","2023",752,428,324
"Pahang","December","12","2020",1,1,0
"Pahang","December","12","2021",0,0,0
"Pahang","December","12","2022",721,355,366
"Pahang","December","12","2023",1284,649,635
"Pahang","February","02","2020",449,279,170
"Pahang","February","02","2021",0,0,0
"Pahang","February","02","2022",0,0,0
"Pahang","February","02","2023",220,122,98
"Pahang","February","02","2024",714,367,347
"Pahang","January","01","2020",1068,550,518
"Pahang","January","01","2021",0,0,0
"Pahang","January","01","2022",0,0,0
"Pahang","January","01","2023",502,270,232
"Pahang","January","01","2024",556,313,243
"Pahang","July","07","2020",0,0,0
"Pahang","July","07","2021",0,0,0
"Pahang","July","07","2022",85,67,18
"Pahang","July","07","2023",716,396,320
"Pahang","June","06","2020",0,0,0
"Pahang","June","06","2021",0,0,0
"Pahang","June","06","2022",53,43,10
"Pahang","June","06","2023",998,523,475
"Pahang","June","06","2024",1226,666,560
"Pahang","March","03","2020",271,147,124
"Pahang","March","03","2021",1,1,0
"Pahang","March","03","2022",0,0,0
"Pahang","March","03","2023",261,145,116
"Pahang","March","03","2024",1111,614,497
"Pahang","May","05","2020",2,2,0
"Pahang","May","05","2021",3,3,0
"Pahang","May","05","2022",92,72,20
"Pahang","May","05","2023",804,466,338
"Pahang","May","05","2024",1123,632,491
"Pahang","November","11","2020",0,0,0
"Pahang","November","11","2021",0,0,0
"Pahang","November","11","2022",59,36,23
"Pahang","November","11","2023",761,401,360
"Pahang","October","10","2020",0,0,0
"Pahang","October","10","2021",0,0,0
"Pahang","October","10","2022",132,94,38
"Pahang","October","10","2023",972,585,387
"Pahang","September","09","2020",1,1,0
"Pahang","September","09","2021",0,0,0
"Pahang","September","09","2022",230,162,68
"Pahang","September","09","2023",1103,600,503
"Perak","April","04","2020",2,0,2
"Perak","April","04","2021",10,4,6
"Perak","April","04","2022",1241,585,656
"Perak","April","04","2023",19131,8797,10334
"Perak","April","04","2024",19059,8806,10253
"Perak","August","08","2020",4,3,1
"Perak","August","08","2021",3,1,2
"Perak","August","08","2022",12303,5908,6395
"Perak","August","08","2023",19302,9118,10184
"Perak","December","12","2020",6,3,3
"Perak","December","12","2021",12,7,5
"Perak","December","12","2022",18264,8737,9527
"Perak","December","12","2023",22667,10285,12382
"Perak","February","02","2020",15691,7469,8222
"Perak","February","02","2021",6,2,4
"Perak","February","02","2022",13,3,10
"Perak","February","02","2023",15986,7728,8258
"Perak","February","02","2024",19533,9124,10409
"Perak","January","01","2020",21169,10042,11127
"Perak","January","01","2021",9,4,5
"Perak","January","01","2022",13,5,8
"Perak","January","01","2023",15179,7281,7898
"Perak","January","01","2024",16969,7976,8993
"Perak","July","07","2020",10,1,9
"Perak","July","07","2021",1,0,1
"Perak","July","07","2022",10885,5257,5628
"Perak","July","07","2023",21446,9793,11653
"Perak","June","06","2020",5,2,3
"Perak","June","06","2021",1,1,0
"Perak","June","06","2022",7696,3642,4054
"Perak","June","06","2023",18571,8623,9948
"Perak","June","06","2024",20088,9419,10669
"Perak","March","03","2020",9620,4511,5109
"Perak","March","03","2021",4,0,4
"Perak","March","03","2022",8,6,2
"Perak","March","03","2023",21201,10068,11133
"Perak","March","03","2024",22246,10455,11791
"Perak","May","05","2020",0,0,0
"Perak","May","05","2021",9,2,7
"Perak","May","05","2022",2943,1275,1668
"Perak","May","05","2023",20150,9570,10580
"Perak","May","05","2024",16818,7779,9039
"Perak","November","11","2020",15,7,8
"Perak","November","11","2021",5,3,2
"Perak","November","11","2022",15485,7371,8114
"Perak","November","11","2023",19230,8939,10291
"Perak","October","10","2020",5,2,3
"Perak","October","10","2021",7,2,5
"Perak","October","10","2022",14232,6674,7558
"Perak","October","10","2023",18819,8679,10140
"Perak","September","09","2020",3,1,2
"Perak","September","09","2021",2,0,2
"Perak","September","09","2022",9785,5006,4779
"Perak","September","09","2023",17552,8141,9411
"Perlis","April","04","2020",2,0,2
"Perlis","April","04","2021",8160,7879,281
"Perlis","April","04","2022",10089,9814,275
"Perlis","April","04","2023",54352,31556,22796
"Perlis","April","04","2024",55692,31206,24486
"Perlis","August","08","2020",4320,4195,125
"Perlis","August","08","2021",7382,7321,61
"Perlis","August","08","2022",65702,39807,25895
"Perlis","August","08","2023",48127,27786,20341
"Perlis","December","12","2020",8797,8411,386
"Perlis","December","12","2021",9208,9061,147
"Perlis","December","12","2022",54034,32716,21318
"Perlis","December","12","2023",53904,30699,23205
"Perlis","February","02","2020",45831,26593,19238
"Perlis","February","02","2021",9335,8951,384
"Perlis","February","02","2022",8533,8416,117
"Perlis","February","02","2023",56894,34793,22101
"Perlis","February","02","2024",58854,33724,25130
"Perlis","January","01","2020",52560,30518,22042
"Perlis","January","01","2021",9933,9483,450
"Perlis","January","01","2022",9168,9012,156
"Perlis","January","01","2023",59072,36310,22762
"Perlis","January","01","2024",58898,35138,23760
"Perlis","July","07","2020",2564,2511,53
"Perlis","July","07","2021",6961,6879,82
"Perlis","July","07","2022",50675,31822,18853
"Perlis","July","07","2023",65446,38392,27054
"Perlis","June","06","2020",3,0,3
"Perlis","June","06","2021",7248,7164,84
"Perlis","June","06","2022",41620,26753,14867
"Perlis","June","06","2023",46491,26832,19659
"Perlis","June","06","2024",52325,29122,23203
"Perlis","March","03","2020",29630,17261,12369
"Perlis","March","03","2021",10974,10616,358
"Perlis","March","03","2022",10164,10007,157
"Perlis","March","03","2023",69607,42179,27428
"Perlis","March","03","2024",59513,34402,25111
"Perlis","May","05","2020",24,3,21
"Perlis","May","05","2021",8617,8382,235
"Perlis","May","05","2022",25309,17785,7524
"Perlis","May","05","2023",62963,37883,25080
"Perlis","May","05","2024",51422,29370,22052
"Perlis","November","11","2020",6796,6467,329
"Perlis","November","11","2021",7404,7291,113
"Perlis","November","11","2022",55300,34064,21236
"Perlis","November","11","2023",55721,32157,23564
"Perlis","October","10","2020",5489,5275,214
"Perlis","October","10","2021",7956,7845,111
"Perlis","October","10","2022",58279,34034,24245
"Perlis","October","10","2023",60062,33111,26951
"Perlis","September","09","2020",5202,5042,160
"Perlis","September","09","2021",7743,7662,81
"Perlis","September","09","2022",48378,29251,19127
"Perlis","September","09","2023",53629,31041,22588
"Pulau Pinang","April","04","2020",11,10,1
"Pulau Pinang","April","04","2021",109,63,46
"Pulau Pinang","April","04","2022",10484,5565,4919
"Pulau Pinang","April","04","2023",76242,35061,41181
"Pulau Pinang","April","04","2024",85610,39921,45689
"Pulau Pinang","August","08","2020",36,22,14
"Pulau Pinang","August","08","2021",257,194,63
"Pulau Pinang","August","08","2022",45781,21281,24500
"Pulau Pinang","August","08","2023",91936,43292,48644
"Pulau Pinang","December","12","2020",96,63,33
"Pulau Pinang","December","12","2021",366,239,127
"Pulau Pinang","December","12","2022",65816,30457,35359
"Pulau Pinang","December","12","2023",107555,50553,57002
"Pulau Pinang","February","02","2020",46197,21990,24207
"Pulau Pinang","February","02","2021",101,65,36
"Pulau Pinang","February","02","2022",471,387,84
"Pulau Pinang","February","02","2023",65039,30647,34392
"Pulau Pinang","February","02","2024",88273,41291,46982
"Pulau Pinang","January","01","2020",66139,30241,35898
"Pulau Pinang","January","01","2021",91,49,42
"Pulau Pinang","January","01","2022",266,167,99
"Pulau Pinang","January","01","2023",68457,30865,37592
"Pulau Pinang","January","01","2024",98132,44646,53486
"Pulau Pinang","July","07","2020",24,10,14
"Pulau Pinang","July","07","2021",162,93,69
"Pulau Pinang","July","07","2022",43801,20401,23400
"Pulau Pinang","July","07","2023",96735,44357,52378
"Pulau Pinang","June","06","2020",18,4,14
"Pulau Pinang","June","06","2021",347,323,24
"Pulau Pinang","June","06","2022",38589,18547,20042
"Pulau Pinang","June","06","2023",102625,47470,55155
"Pulau Pinang","June","06","2024",112060,51518,60542
"Pulau Pinang","March","03","2020",23117,10935,12182
"Pulau Pinang","March","03","2021",157,99,58
"Pulau Pinang","March","03","2022",1619,935,684
"Pulau Pinang","March","03","2023",74385,35487,38898
"Pulau Pinang","March","03","2024",124257,57580,66677
"Pulau Pinang","May","05","2020",1,1,0
"Pulau Pinang","May","05","2021",134,90,44
"Pulau Pinang","May","05","2022",24031,11961,12070
"Pulau Pinang","May","05","2023",82247,39064,43183
"Pulau Pinang","May","05","2024",99646,46644,53002
"Pulau Pinang","November","11","2020",98,68,30
"Pulau Pinang","November","11","2021",366,235,131
"Pulau Pinang","November","11","2022",54970,25382,29588
